payment_id,customer_id,account_id,policy_id,amount,currency,payment_date,payment_method,status,reference,failure_reason
PAY000001,C0718,A0482,,2052.56,ZAR,2024-06-20,DEBIT_ORDER,PENDING,PAYREF27E35C89B3,
PAY000002,C0317,A0168,,180.61,ZAR,2024-04-28,MOBILE,COMPLETED,PAYREF9BFE1F2BE0,
PAY000003,C0765,A1460,POL0370,7518.15,ZAR,2024-08-30,DEBIT_ORDER,PENDING,PAYREF83FB138188,
PAY000004,C0677,A0037,POL0297,781.96,ZAR,2024-09-15,CARD,COMPLETED,PAYREF9334B2D87D,
PAY000005,C0757,A1460,POL0438,461.76,ZAR,2025-09-22,CASH,REVERSED,PAYREF3C131F1353,
PAY000006,C0747,A1274,POL0087,826.36,ZAR,2026-05-20,CASH,COMPLETED,PAYREF14E8883B51,
PAY000007,C0516,A0160,POL0279,1912.7,ZAR,2024-09-13,DEBIT_ORDER,PENDING,PAYREF90F3357013,
PAY000008,C0582,A1411,,2671.7,ZAR,2024-12-18,DEBIT_ORDER,COMPLETED,PAYREFAC747066DF,
PAY000009,C0489,A1116,,833.55,ZAR,2024-10-26,CASH,COMPLETED,PAYREFD241BE2723,
PAY000010,C0689,A1263,,260.16,ZAR,2024-12-30,DEBIT_ORDER,COMPLETED,PAYREF26D0D08C27,
PAY000011,C0934,A0824,,326.26,ZAR,2025-05-01,MOBILE,COMPLETED,PAYREF60AE911182,
PAY000012,C0261,A1112,POL0002,1460.29,ZAR,2025-10-24,DEBIT_ORDER,PENDING,PAYREF962876A804,
PAY000013,C0465,A1405,POL0528,2943.42,ZAR,2026-01-10,CARD,FAILED,PAYREFC9897DBD7D,Limit exceeded
PAY000014,C0183,A0157,POL0356,3352.55,ZAR,2024-09-20,MOBILE,COMPLETED,PAYREF38F0DE7B20,
PAY000015,C0385,A0322,POL0598,1297.37,ZAR,2024-11-10,CASH,COMPLETED,PAYREF11824FCD6E,
PAY000016,C0881,A1241,,2885.06,ZAR,2024-08-10,CARD,COMPLETED,PAYREFC369B98583,
PAY000017,C0744,A0587,POL0226,7423.08,ZAR,2024-11-29,CASH,COMPLETED,PAYREFA2B68F99CB,
PAY000018,C0616,A0678,POL0510,3605.98,ZAR,2025-04-04,MOBILE,COMPLETED,PAYREFB159DA1B77,
PAY000019,C0894,A0183,,2757.38,ZAR,2026-06-21,EFT,COMPLETED,PAYREFCE04597CF7,
PAY000020,C0415,A1230,POL0610,489.53,ZAR,2024-08-17,MOBILE,COMPLETED,PAYREF9343DBBF97,
PAY000021,C0522,A0079,,2871.59,ZAR,2026-07-07,CARD,COMPLETED,PAYREF8B20DFB1BB,
PAY000022,C0871,A0095,,1739.29,ZAR,2025-08-01,DEBIT_ORDER,COMPLETED,PAYREFCAB713BFEF,
PAY000023,C0556,A0742,,2102.0,ZAR,2024-10-03,CASH,COMPLETED,PAYREFDFD251872A,
PAY000024,C0253,A1430,POL0397,3870.37,ZAR,2026-04-12,MOBILE,COMPLETED,PAYREF40C8681869,
PAY000025,C0240,A0506,,1569.57,ZAR,2026-08-30,EFT,COMPLETED,PAYREFD56CEF5BA4,
PAY000026,C0483,A0021,POL0462,989.75,ZAR,2026-01-31,EFT,COMPLETED,PAYREF28FC657632,
PAY000027,C0542,A1449,POL0651,376.2,ZAR,2024-07-19,CASH,PENDING,PAYREFA10228DF9E,
PAY000028,C0647,A0643,,815.24,ZAR,2025-12-07,CARD,COMPLETED,PAYREF5F2BE86795,
PAY000029,C0343,A1161,,1356.76,ZAR,2024-02-05,CASH,COMPLETED,PAYREFBAC2ACA468,
PAY000030,C0786,A1265,,1447.54,ZAR,2026-03-20,DEBIT_ORDER,COMPLETED,PAYREFEFCBC691B7,
PAY000031,C0698,A0231,,1399.51,ZAR,2026-05-07,MOBILE,COMPLETED,PAYREF6F4E6BA61E,
PAY000032,C0407,A0538,,2862.67,ZAR,2024-03-20,CASH,COMPLETED,PAYREF25574093B3,
PAY000033,C0339,A1338,POL0135,2605.46,ZAR,2026-07-19,MOBILE,COMPLETED,PAYREF1DB9F480EF,
PAY000034,C0114,A1500,,1030.62,ZAR,2024-05-27,DEBIT_ORDER,COMPLETED,PAYREF88C49B4E0E,
